Aggregate with Dmax= 1026.64 and aeff= 211.234
4935  = NAT
1.000	0.000	0.000	= target vector a1 (in TF)
0.000	1.000	0.000	= target vector a1 (in TF)
1.	1.	1.	= d_x/d d_y/d d_z/d (normally 1 1 1)
J	JX	JY	JZ	ICMPX	ICMPY	ICMPZ
  1  -3  -1  -3   1   1   1
  2  -4  -1  -3   1   1   1
  3  -3  -0  -3   1   1   1
  4  -3  -1  -2   1   1   1
  5  -3  -0  -2   1   1   1
  6  -4  -1  -2   1   1   1
  7  -4   0  -3   1   1   1
  8  -3  -1  -4   1   1   1
  9  -4  -2  -3   1   1   1
 10  -4  -0  -2   1   1   1
 11  -4  -1  -4   1   1   1
 12  -2  -0  -3   1   1   1
 13  -3  -0  -4   1   1   1
 14  -3  -0  -1   1   1   1
 15  -4  -0  -1   1   1   1
 16  -4   1  -2   1   1   1
 17  -4  -0  -4   1   1   1
 18  -4  -1  -1   1   1   1
 19  -4  -2  -2   1   1   1
 20  -2  -1  -3   1   1   1
 21  -2  -1  -2   1   1   1
 22  -3   1  -3   1   1   1
 23  -2  -0  -2   1   1   1
 24  -2   1  -4   1   1   1
 25  -2   0  -4   1   1   1
 26  -4   1  -4   1   1   1
 27  -4   1  -1   1   1   1
 28  -3  -2  -2   1   1   1
 29  -5  -0  -2   1   1   1
 30  -3   1  -4   1   1   1
 31  -2  -2  -4   1   1   1
 32  -2  -1  -4   1   1   1
 33  -5  -0  -3   1   1   1
 34  -4  -2  -4   1   1   1
 35  -3   1  -2   1   1   1
 36  -1  -1  -2   1   1   1
 37  -1  -0  -2   1   1   1
 38  -2  -2  -2   1   1   1
 39  -2  -2  -3   1   1   1
 40  -2  -1  -1   1   1   1
 41  -4  -2  -1   1   1   1
 42  -3  -2  -4   1   1   1
 43  -1  -2  -2   1   1   1
 44  -1  -2  -1   1   1   1
 45  -5   1  -2   1   1   1
 46  -2   1  -2   1   1   1
 47  -2  -2  -1   1   1   1
 48  -1  -0  -3   1   1   1
 49  -1  -1  -3   1   1   1
 50  -2  -0  -5   1   1   1
 51  -3  -1  -0   1   1   1
 52  -6   1  -2   1   1   1
 53  -5  -0  -1   1   1   1
 54  -0   0  -2   1   1   1
 55  -2  -0  -1   1   1   1
 56  -4   2  -1   1   1   1
 57  -4   1  -3   1   1   1
 58  -4  -1  -0   1   1   1
 59  -3   2  -2   1   1   1
 60  -1  -0  -1   1   1   1
 61  -2   1  -1   1   1   1
 62  -1  -3  -1   1   1   1
 63  -1  -4  -1   1   1   1
 64  -0  -4  -0   1   1   1
 65  -1  -2  -3   1   1   1
 66  -6   1  -3   1   1   1
 67  -4   2  -3   1   1   1
 68  -3   1  -1   1   1   1
 69  -2  -3  -3   1   1   1
 70  -1   1  -3   1   1   1
 71  -1   2  -3   1   1   1
 72  -0   0  -3   1   1   1
 73  -1   1  -4   1   1   1
 74  -1   0  -4   1   1   1
 75  -3  -2  -1   1   1   1
 76  -5   2  -1   1   1   1
 77  -3  -0  -0   1   1   1
 78  -3   1   0   1   1   1
 79  -1  -1   1   1   1   1
 80  -2   2  -2   1   1   1
 81  -4   3  -1   1   1   1
 82  -2   2  -3   1   1   1
 83  -2   3  -1   1   1   1
 84  -6   1  -1   1   1   1
 85  -2   0   0   1   1   1
 86  -4  -2  -5   1   1   1
 87  -4  -0   0   1   1   1
 88  -2   2  -1   1   1   1
 89  -1   2  -2   1   1   1
 90  -1  -1  -1   1   1   1
 91  -4  -4  -3   1   1   1
 92  -4  -3  -3   1   1   1
 93  -5  -2  -3   1   1   1
 94  -4  -4  -2   1   1   1
 95  -5   3  -2   1   1   1
 96  -0   0  -5   1   1   1
 97   1   1  -5   1   1   1
 98  -2   2  -4   1   1   1
 99  -3   2  -3   1   1   1
100  -5  -1   1   1   1   1
101  -6  -0   1   1   1   1
102  -3   2  -4   1   1   1
103  -5  -1  -1   1   1   1
104  -5   2  -0   1   1   1
105  -2  -3  -4   1   1   1
106  -1  -2  -4   1   1   1
107  -1  -1  -4   1   1   1
108  -5   0  -4   1   1   1
109   0  -1  -3   1   1   1
110  -4   1  -5   1   1   1
111  -5  -1  -4   1   1   1
112  -5  -2  -4   1   1   1
113  -3  -3  -3   1   1   1
114  -3  -4  -3   1   1   1
115  -1  -3  -4   1   1   1
116  -2  -4  -4   1   1   1
117  -2  -3  -2   1   1   1
118  -1  -3  -3   1   1   1
119  -0  -1  -4   1   1   1
120  -0  -2  -4   1   1   1
121  -3   2  -5   1   1   1
122  -2   3  -3   1   1   1
123  -4   2  -4   1   1   1
124  -1   2  -4   1   1   1
125  -0  -4  -2   1   1   1
126  -1  -4  -2   1   1   1
127   1   1  -4   1   1   1
128   1   0  -5   1   1   1
129  -2  -4  -2   1   1   1
130  -3  -1   1   1   1   1
131  -5   1  -1   1   1   1
132   1  -1  -4   1   1   1
133  -3   0  -6   1   1   1
134  -1  -4   0   1   1   1
135  -4   2  -0   1   1   1
136   1   3  -2   1   1   1
137   0   2  -1   1   1   1
138  -1   2  -1   1   1   1
139  -5  -2  -2   1   1   1
140  -0  -3  -0   1   1   1
141  -2  -4  -1   1   1   1
142  -0   3  -0   1   1   1
143  -1  -0   0   1   1   1
144   1   2  -2   1   1   1
145  -2  -2  -0   1   1   1
146  -1  -1   0   1   1   1
147  -4  -3  -2   1   1   1
148   0  -3   1   1   1   1
149  -0  -0  -6   1   1   1
150  -0  -1  -6   1   1   1
151  -0  -2  -6   1   1   1
152   1   2  -1   1   1   1
153   1   2  -0   1   1   1
154   0   2   1   1   1   1
155   0   1   2   1   1   1
156   1   1  -3   1   1   1
157   1   1  -2   1   1   1
158   1   1  -1   1   1   1
159   0   0   0   1   1   1
160   0   0   1   1   1   1
161   2   2  -2   1   1   1
162   1   1  -0   1   1   1
163   1   1   1   1   1   1
164   1   1   2   1   1   1
165   2   2  -1   1   1   1
166   2   2  -0   1   1   1
167   2   1   1   1   1   1
168   2   1   2   1   1   1
169   2   1  -2   1   1   1
170   2   1  -1   1   1   1
171   2   0  -0   1   1   1
172   2   0   1   1   1   1
173   1  -0   1   1   1   1
174  -3  -3  -4   1   1   1
175   1  -3  -7   1   1   1
176  -5  -1  -3   1   1   1
177  -3  -3  -7   1   1   1
178  -5  -1  -5   1   1   1
179  -3  -4  -5   1   1   1
180  -4  -4  -4   1   1   1
181  -1  -3  -7   1   1   1
182  -2  -3  -7   1   1   1
183  -5  -4  -2   1   1   1
184  -4  -3  -4   1   1   1
185  -3  -4  -6   1   1   1
186  -2   0  -6   1   1   1
187  -1   0   1   1   1   1
188   0  -5  -0   1   1   1
189  -5   1  -5   1   1   1
190  -6  -2  -5   1   1   1
191  -5  -3  -4   1   1   1
192  -6  -3  -3   1   1   1
193  -7  -4  -3   1   1   1
194  -1  -3  -6   1   1   1
195  -6  -0  -3   1   1   1
196  -7   0  -4   1   1   1
197  -8   1  -4   1   1   1
198  -6  -1   2   1   1   1
199   3   2  -2   1   1   1
200  -5   2  -2   1   1   1
201  -2   3  -0   1   1   1
202   0  -2  -3   1   1   1
203   1  -2  -4   1   1   1
204   1  -3  -5   1   1   1
205   1  -2  -5   1   1   1
206   2  -0  -4   1   1   1
207   2  -1  -5   1   1   1
